id,verse_text,label,sentiment,len_text,processed_text
0.0,with pale blue berries. in these peaceful shades--,1.0,positive,50.0,pale blue berry peaceful shade
1.0,"it flows so long as falls the rain,",2.0,no impact,35.0,flow long fall rain
2.0,"and that is why, the lonesome day,",0.0,negative,34.0,lonesome day
3.0,"when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,",3.0,mixed,109.0,peruse conquered fame hero victory mighty general envy general
4.0,of inward strife for truth and liberty.,3.0,mixed,39.0,inward strife truth liberty
5.0,the red sword sealed their vows!,3.0,mixed,32.0,red sword sealed vow
6.0,and very venus of a pipe.,2.0,no impact,25.0,venus pipe
7.0,"who the man, who, called a brother.",2.0,no impact,35.0,man called brother
8.0,"and so on. then a worthless gaud or two,",0.0,negative,40.0,worthless gaud two
9.0,to hide the orb of truth--and every throne,2.0,no impact,42.0,hide orb truthand every throne
10.0,the call's more urgent when he journeys slow.,2.0,no impact,45.0,call urgent journey slow
11.0,with the _quart d'heure_ of rabelais!,2.0,no impact,37.0,quart dheure rabelais
12.0,"and match, and bend, and thorough-blend, in her colossal form and face.",2.0,no impact,71.0,match bend thoroughblend colossal form face
13.0,have i played in different countries.,2.0,no impact,37.0,played different country
14.0,"tells us that the day is ended.""",2.0,no impact,32.0,tell u day ended
15.0,and not alone by gold;,2.0,no impact,22.0,alone gold
16.0,that has a charmingly bourbon air.,1.0,positive,34.0,charmingly bourbon air
17.0,"sounded o'er earth and sea its blast of war,",0.0,negative,44.0,sounded oer earth sea blast war
18.0,chief poet on the tiber-side,2.0,no impact,28.0,chief poet tiberside
19.0,"as under a sunbeam a cloud ascends,",2.0,no impact,35.0,sunbeam cloud ascends
20.0,"brightly expressive as the twins of leda,",1.0,positive,41.0,brightly expressive twin leda
21.0,"of night, and all things now retir'd to rest",2.0,no impact,44.0,night thing retird rest
22.0,in latmian fountains long ago.,2.0,no impact,30.0,latmian fountain long ago
23.0,in monumental pomp! no grecian drop,1.0,positive,35.0,monumental pomp grecian drop
24.0,"and when they reached the house,",2.0,no impact,32.0,reached house
25.0,"then this old orchard, sloping to the west;",2.0,no impact,43.0,old orchard sloping west
26.0,so prythee get thee gone.,2.0,no impact,25.0,prythee get thee gone
27.0,the other dark-eyed dears,2.0,no impact,25.0,darkeyed dear
28.0,me honied paths forsake;,2.0,no impact,24.0,honied path forsake
29.0,to that mysterious strand.,2.0,no impact,26.0,mysterious strand
30.0,wid a song up on de way.,2.0,no impact,24.0,wid song de way
31.0,"her visions and those we have seen,--",2.0,no impact,37.0,vision seen
32.0,he sat beside the governor and said grace;,2.0,no impact,42.0,sat beside governor said grace
33.0,fifty times the brahmins' offer deluged all the floor.,2.0,no impact,54.0,fifty time brahmin offer deluged floor
34.0,and what are all the prizes won,2.0,no impact,31.0,prize
35.0,made snow of all the blossoms; at my feet,2.0,no impact,41.0,made snow blossom foot
36.0,"he never told us what he was,",2.0,no impact,29.0,never told u
37.0,"want and woe, which torture us,",0.0,negative,31.0,want woe torture u
38.0,"a ruby, and a pearl, or so,",2.0,no impact,27.0,ruby pearl
39.0,"an echo returned on the cold gray morn,",0.0,negative,39.0,echo returned cold gray morn
40.0,"he says he’s hungry,—he would rather have",2.0,no impact,41.0,say ’ hungry—he would rather
